,Athlete,Country,NumWCups
623,Martino ISCHIA,Italy,5
624,Changfeng QU,China,5
625,Adrien TRIBOUT,France,5
626,Ludovic LEFEVRE,France,5
627,Nathan MICHEL,France,5
628,Connor BYRNE,United Kingdom,5
629,Shane MESSER,United States of America,5
630,Thilo jeldrik SCHRÖTER,Norway,5
631,Remo LEHMANN,Switzerland,5
632,Jan ZIMA,Czechia,5
633,Danny VALENCIA,Ecuador,5
634,Sergio VERDASCO URIZAL,Spain,5
635,Jerome GONZÁLEZ GUTIÉRREZ,Spain,5
636,Alessandro ZENI,Italy,5
637,Jakub DVORAK,Czechia,5
638,Marco MÜLLER,Switzerland,5
639,Sergio PASTOR MARTÍNEZ,Spain,5
640,Kristoffer LINDBÄCK,Sweden,5
641,Lucas UCHIDA,Canada,5
642,Keita DOHI (Current),Japan,5
643,Emilio RIOS,Chile,5
644,Mel JANSE VAN RENSBURG (Current),South Africa,5
645,Marcin DZIENSKI (Current),Poland,5
646,Aspar JAELOLO,Indonesia,5
647,Alfian MUHAMMAD FAJRI (Current),Indonesia,5
648,Jan KRIZ,Czechia,5
649,Zach GALLA (Current),United States of America,5
650,Fatchur ROJI,Indonesia,5
651,Sungsu LEE,Republic of Korea,5
652,Michael O'NEILL (Current),Ireland,5
653,José Alejandro SAUCEDA RODRÍGUEZ (Current),Mexico,5
654,Muhammad Ramzi FIRMANSYAH (Current),Indonesia,5
655,Dillon COUNTRYMAN (Current),United States of America,5
656,Thor VILLEGAS GARCÍA (Current),Mexico,5
657,Hugo HOYER (Current),United States of America,5
658,Jair Octavio MORENO MONTOYA (Current),Mexico,5
659,Max DINGER (Current),Germany,5
660,Nathan SATO (Current),United States of America,5
661,Lukas MOKROLUSKY (Current),Czechia,5
662,Davi CARVALHO PERES (Current),Brazil,5
663,Tomás ARCE (Current),Colombia,5
664,Raphael CABANE,France,4
665,Arnould T'KINT,Belgium,4
666,Carlos GARCIA BELLO,Spain,4
667,Zidan STANKO,Slovenia,4
668,Carlos BRASCO,Spain,4
669,Marcel TOMAN,Czechia,4
670,Thomas FICKERT,Germany,4
671,Alexander SISINTSEV,Russia,4
672,Tomoki USAMI,Japan,4
673,Werner HOFMANS,Belgium,4
674,Nick SELLARS,United Kingdom,4
675,Mathieu DUTRAY,France,4
676,Hakon HANSEN,Norway,4
677,Jacques WELTER,Luxembourg,4
678,Gerhard HÖRHAGER,Austria,4
679,Kimura SHINSUKE,Japan,4
680,Michael SCHLOTTER,Germany,4
681,Chris FOSSLI,Norway,4
682,Tomas SEDLACEK,Czechia,4
683,Vladimir ZAKHAROV,Ukraine,4
