,Athlete,Country,NumWCups
401,Miriam FOGU (Current),Italy,5
402,Paige BOKLASCHUK,Canada,5
403,Sandra HOPFENSITZ (Current),Germany,5
404,Anja KÖHLER (Current),Brazil,5
405,Ariane JANATA-BURNS (Current),South Africa,5
406,Eugenie LEE (Current),United Kingdom,5
407,Martina CASTRO (Current),Chile,5
408,Laura FARHAT DE ARAUJO FRAGA TIMO (Current),Brazil,5
409,Svana BJARNASON (Current),France,5
410,Svana BJARNASON (Current),Iceland,5
411,Natalia De Jesús GONZÁLEZ (Current),Mexico,5
412,Geila MACIÀ MARTÍN (Current),Spain,5
413,Lea SLOBODOVÁ (Current),Slovakia,5
414,Yajun HUANG (Current),China,5
415,Stella GIACANI (Current),Italy,5
416,Romana SAVIC,Slovenia,4
417,Marietta UHDEN,Germany,4
418,Olena RYEPKO,Ukraine,4
419,Laeticia COUDER,France,4
420,Yulia INOZEMTSEVA,Russia,4
421,Olena KRYVONIS,Ukraine,4
422,Olga ZAKHAROVA,Ukraine,4
423,Olena OSTAPENKO,Ukraine,4
424,Elodie GIROUX,France,4
425,Céline HURTADO,France,4
426,Monica ZEILEMAKER,Netherlands,4
427,Lou WALLIN,Sweden,4
428,Katrin BRADY,Germany,4
429,Claudia SALVADORI,Italy,4
430,Eva NIESELT,Germany,4
431,Flavia GAGGERO,Italy,4
432,Jo GORDON,United Kingdom,4
433,Sian OAKLEY,United Kingdom,4
434,Daria NESTERENKO,Ukraine,4
435,Iziar MARTÍNEZ ALMENDROS (Current),Spain,4
436,Lena SCHRITTWIESER (Current),Austria,4
437,Anastasija TERIOCHINA,Lithuania,4
438,Lucie DELCOIGNE,Belgium,4
439,Natalia TITOVA,Russia,4
440,Emily HARRINGTON,United States of America,4
441,Colette CIRET,France,4
442,Maria AGAFONOVA,Russia,4
443,Dominika DUPALOVA,Czechia,4
444,Emeline THOMAS,France,4
445,Zoe OGDEN,United Kingdom,4
446,Evgeniia MALAMID,Russia,4
447,Franziska SAURWEIN,Austria,4
448,Natalie SAILER,Germany,4
449,Elena CHIAPPA,Italy,4
450,Sara AICART ORTIZ,Spain,4
451,Andrea brigitta SZEKELY,Hungary,4
452,Mathilde BECERRA,France,4
453,Nadja PFISTER,Switzerland,4
454,Channah BRANDSEMA,Netherlands,4
455,Isabelle FAUS,United States of America,4
456,Olga KULISH,Ukraine,4
457,Eevi JAAKKOLA,Finland,4
458,Madeleine EPPENSTEINER,Austria,4
459,Delaney MILLER,United States of America,4
460,Virgita NADYA PUTRI,Indonesia,4
461,Claire BRESNAN,United States of America,4
462,Miura HAWKINS,United States of America,4
463,Samantha LI,Canada,4
464,Stella PLANTIN,Sweden,4
465,Celeste WALL,Canada,4
466,Sofia HEINZE CACHO,Mexico,4
467,Aika TAJIMA,Japan,4
468,Michelle KIM THEISEN,Denmark,4
469,Asja GOLLO,Italy,4
470,Yuzhen BAIMA,China,4
471,Ida KUPS,Poland,4
472,Frederike FELL,Germany,4
473,Bronwen KARNIS,Canada,4
474,Laura STÖCKLER,Austria,4
475,Anastasiia EVGENEVA,Russia,4
476,Imogen HORROCKS,United Kingdom,4
477,Sarah TETZLAFF (Current),New Zealand,4
478,Aries SUSANTI RAHAYU,Indonesia,4
479,Iqamah NURUL,Indonesia,4
480,Choirul UMI CAHYANING AYUB,Indonesia,4
481,Salsabila SALSABILA,Indonesia,4
482,Joanna NEAME (Current),United Kingdom,4
483,Aleksandra KALUCKA (Current),Poland,4
484,Zoe GARCIA MOLINA,Argentina,4
485,Rebeca PÉREZ DUATO,Spain,4
486,Rocio ailen BECERRA,Argentina,4
487,Hongchun XIANG,China,4
488,Anja SANTINI MIKULIĆ (Current),Croatia,4
489,Lisa KLEM (Current),Netherlands,4
490,Emily SCOTT (Current),Australia,4
491,Mashiro KUZUU (Current),Japan,4
492,Evdoxia-aikaterini KALLIA (Current),Greece,4
493,Rosa ARNOLD (Current),Finland,4
494,Yali WEI (Current),China,4
495,Ting-Chen YAO (Current),Taiwan,4
496,Si Wan LEI (Current),"China, Macao Special Administrative Region",4
497,Katharina BERGMANN (Current),Austria,4
498,Lukka Mörk BLOMSTERBERG (Current),Iceland,4
499,Heeju NOH (Current),Republic of Korea,4
500,Jacqueline HO (Current),Canada,4
501,Ella FISHER (Current),United States of America,4
502,María José ESTRADA (Current),Mexico,4
503,Sofia PARRADO (Current),Colombia,4
504,Emilia ANDERSSON (Current),Sweden,4
505,Tamar COHEN (Current),Israel,4
506,Francesca WALTHER (Current),Switzerland,4
507,Marina ANNECCHINI,Italy,3
508,Eleonora VAN DER PUTTEN,Netherlands,3
509,Lisa BENETTI,Italy,3
510,Kazumi WATATUKI,Japan,3
511,Claire SARRE,France,3
512,Estelle PARDO,France,3
513,Laurence DOULAT,France,3
514,Katarina CINTALOVA,Slovakia,3
515,Shun-yuk CHOI,"China, Hong Kong Special Administrative Region",3
516,Nienke SWART,Netherlands,3
517,Sheila JENSEN,Denmark,3
518,Hiu ying LIU,"China, Hong Kong Special Administrative Region",3
519,Clothilde MORIN,France,3
520,Arta MATELSONE,Latvia,3
521,Nika POTAPOVA (Current),Ukraine,3
522,Lynn VAN DER MEER (Current),Netherlands,3
523,Eliška BULENOVÁ,Czechia,3
524,Celina SCHOIBL,Austria,3
525,Megan LYNCH,United States of America,3
526,Sunniva ØVRE-EIDE (Current),Norway,3
527,Eva Maria HAMMELMÜLLER (Current),Austria,3
528,Tove WÅHLIN,Sweden,3
529,Yuko SAKAKIBARA,Japan,3
530,Giovanna POZZOLI,Italy,3
531,Jemma POWELL,United Kingdom,3
532,Ursula STÖHR,Austria,3
533,Eliza KUGLER,Poland,3
534,Emma TWYFORD,United Kingdom,3
535,Naomi BUYS,United Kingdom,3
536,Svitlana TUZHYLINA,Ukraine,3
537,Spasina NEDYALKOVA,Bulgaria,3
538,Mayan SMITH-GOBAT,New Zealand,3
539,Julia WINTER,Germany,3
540,Anamaria BOGACIU,Romania,3
541,Crina OCHENATU,Romania,3
542,Cassandra ZAMPAR,Italy,3
543,Gurgel OZVER,Turkey,3
544,Thirza CARPENTER,Canada,3
545,Victoria WELDON,Canada,3
546,Kasia PIETRAS,United States of America,3
547,Bonnie DE BRUIJN,Canada,3
548,Sarah AUSTIN,Canada,3
549,Kerry BRIGGS,Canada,3
550,Audrey GAWRYCH,United States of America,3
551,Klaudia BUCZEK,Poland,3
552,Andrea ČEPCOVÁ,Slovakia,3
553,Stefanie PICHLER,Austria,3
554,Chauncenia COX,United States of America,3
555,Roelien VAN DE VRIE,Netherlands,3
556,Michaela KIERSCH,United States of America,3
557,Katy PIDDOCK,United Kingdom,3
558,Sarah SCHÜTZENBERGER,Germany,3
559,Marija MILOSAVLJEVIC,Serbia,3
560,Maria CELKOVA,Canada,3
561,Tyler YOUNGWERTH,United States of America,3
562,Mirthe VAN LIERE,Netherlands,3
563,Eva CARRO FERNÁNDEZ,Spain,3
564,Kaori EGUCHI,Japan,3
565,Nolwen BERTHIER,France,3
566,Elsa PONZO,France,3
567,Therese JOHANSEN,Norway,3
568,Mariana FIERRO,Mexico,3
569,Thais makino SHIRAIWA,Brazil,3
570,Patricia HOLZMANN,Germany,3
571,Pankaew PLYPOOLSUP,Thailand,3
572,Malgorzata RUDZINSKA,Poland,3
573,Watchareewan TOMAS,Thailand,3
574,Or COHEN,Israel,3
575,Alison STEWART-PATTERSON,Canada,3
576,Erina MIURA,Japan,3
577,Romane GRANDCOING,France,3
578,Lara ÖZAK,Turkey,3
579,Juliana PRICE,United States of America,3
580,Athena BIGVAND,Iran (Islamic Republic of),3
